date,startup,vertical,subvertical,city,investors,rounds,amount
2016-09-23,inMotion,Technology,Financial platform for daily wage earning communities,Noida,Shantanu Mathur,Seed Funding,0.0
2016-09-23,inMotion,Technology,Financial platform for daily wage earning communities,Noida,Prabhat Aggarwal,Seed Funding,0.0
2016-09-26,Let’s Barter,Consumer Internet,Goods & Services Barter Platform,Delhi,Scale Ventures Funds,Seed Funding,0.0
2016-09-26,EvenGini,Consumer Internet,Event Registration and Ticketing platform,Chennai,Procam International Pvt. Ltd,Private Equity,0.0
2016-09-27,TinyStep,Consumer Internet,Parenting Network Platform,Bengaluru,Flipkart Logistics Pvt. Ltd,Private Equity,13.035
2016-09-27,Canvs,Consumer Internet,Community Platform for Artists and Designers,Mumbai,Pratik Seal,Seed Funding,0.0
2016-09-28,Instacar,Consumer Internet,Out-Station Taxi Rental Platform,Indore,Swastika Co Ltd,Seed Funding,8.25
2016-09-28,Druva,Technology,Cloud Based Data Protection Solution,Pune,Blue Cloud Ventures,Private Equity,420.75
2016-09-28,Druva,Technology,Cloud Based Data Protection Solution,Pune,Hercules Capital,Private Equity,420.75
2016-09-29,Promon,ECommerce,Local Commerce Platform,Delhi,Now Capital,Seed Funding,1.485
2016-09-29,Fastudent,ECommerce,Education eCommerce platform,Noida,Kanwaljit Singh,Seed Funding,0.0
2016-09-29,Fastudent,ECommerce,Education eCommerce platform,Noida,Ajay Lakhotia,Seed Funding,0.0
2016-09-29,Unocoin,Consumer Internet,Bitcoin Wallet,Bengaluru,Ah! Ventures,Private Equity,12.375
2016-09-29,Unocoin,Consumer Internet,Bitcoin Wallet,Bengaluru,Boost Vc,Private Equity,12.375
2016-09-29,Unocoin,Consumer Internet,Bitcoin Wallet,Bengaluru,Bank To The Future,Private Equity,12.375
2016-09-29,Unocoin,Consumer Internet,Bitcoin Wallet,Bengaluru,Funders Club,Private Equity,12.375
2016-09-30,Zeta,Technology,Enterprise Cloud Solutions,Mumbai,Bhavin Turakhia,Private Equity,156.75
2016-08-01,Medinfi,Consumer Internet,Doctor & Clinic Discovery Platform,Bengaluru,Mudit Saxena,Seed Funding,1.65
2016-08-01,Tokri,Consumer Internet,Hyperlocal Grocery Delivery platform,Pune,Syska Led Group,Private Equity,20.625
2016-08-02,Sheroes,Consumer Internet,Online Job and Career Platform for Women,Noida,The Hr Fund,Private Equity,14.85
2016-08-02,Sheroes,Consumer Internet,Online Job and Career Platform for Women,Noida,Quintillion Media,Private Equity,14.85
2016-08-02,Daily Ninja,Consumer Internet,Hyperlocal daily needs Products delivery platform,Bengaluru,Subramanya Sv,Seed Funding,0.0
2016-08-02,Daily Ninja,Consumer Internet,Hyperlocal daily needs Products delivery platform,Bengaluru,Ravi Garkipati,Seed Funding,0.0
2016-08-02,Yumlane,Food & Beverage,Retail Food & Snack Offline centres,Mumbai,Darius P,Seed Funding,8.25
2016-08-02,Yumlane,Food & Beverage,Retail Food & Snack Offline centres,Mumbai,Ole,Seed Funding,8.25
2016-08-02,Yumlane,Food & Beverage,Retail Food & Snack Offline centres,Mumbai,Kunal Khattar,Seed Funding,8.25
2016-08-02,Yumlane,Food & Beverage,Retail Food & Snack Offline centres,Mumbai,Dheerag Jain,Seed Funding,8.25
2016-08-03,FlickBay,Consumer Internet,Mobile Based Bollywood Discovery platform,Mumbai,Paul Roy,Seed Funding,7.3425
2016-08-06,VST Travels,Technology,Travel Ticket Booking Software,Kerala,Promatus Group,Seed Funding,0.22275
2016-08-08,AdPushUp,Technology,Ad optimization Platform,Delhi,Geniee,Private Equity,0.0
2016-08-08,AdPushUp,Technology,Ad optimization Platform,Delhi,Inc,Private Equity,0.0
2016-08-08,Wefly Indoor Skydiving,Others,Indoor Skydiving Sports Provider,Mumbai,Swastika Company Ltd,Seed Funding,0.33
2016-08-09,MobiDent,Healthcare,Dental Protection Solution,Bengaluru,Centre For Innovation Incubation,Seed Funding,0.0
2016-08-09,MobiDent,Healthcare,Dental Protection Solution,Bengaluru,Entrepreneurs,Seed Funding,0.0
2016-08-10,Vebbler,Consumer Internet,Photo Sharing Mobile App,Bengaluru,14 Others,Seed Funding,4.125
2016-08-10,Bombay Shaving Company,ECommerce,Men’s Grooming Product etailer,Delhi,Noshir Kaka,Seed Funding,4.95
2016-08-10,Bombay Shaving Company,ECommerce,Men’s Grooming Product etailer,Delhi,Subramanian Ramadorai,Seed Funding,4.95
2016-08-10,Bombay Shaving Company,ECommerce,Men’s Grooming Product etailer,Delhi,Kiran Deshp,Seed Funding,4.95
2016-08-10,Bombay Shaving Company,ECommerce,Men’s Grooming Product etailer,Delhi,Pankaj Gupta,Seed Funding,4.95
2016-08-10,Bombay Shaving Company,ECommerce,Men’s Grooming Product etailer,Delhi,Ravi Nigam,Seed Funding,4.95
2016-08-11,Travelyaari,Consumer Internet,Online ticket booking platform,Bengaluru,Gujarat Venture Finance Ltd,Private Equity,57.75
2016-08-11,91SpringBoard,Consumer Internet,Co-Working Spaces Discovery & Booking platform,Mumbai,Thirtythree Investments,Private Equity,0.0
